id,latitude,longitude,thumb_original_url,country,sequence,captured_at,lon_bin,lat_bin,cell,land_cover,road_index,drive_side,climate,soil,dist_sea,region,sub-region,city,unique_city,unique_sub-region,unique_region,unique_country,quadtree_10_1000,creator_username,creator_id
2937019983177088,43.261569045576,-8.8206096173194,https://scontent-cdg4-3.xx.fbcdn.net/m1/v/t6/An-3SI5_4kAYzqNFLtsDcnjq7SeP4_Htlb4qVj9yUU525aJbIXI3QY6yj9MP23_7kDM8O5DQs1rR1qwKoQtVBX6z8_kg0JHXqkY5-MHfVCM4ArwZaZSfMfj_70KJDXb8Nq9DKA4VgQkKtbHmpjsWRA?ccb=10-5&oh=00_AfB5AZ2PhdkVV8NrCMXyIxOAt1xsd1n0hg0EJ_llG6C1wQ&oe=650F0FA9&_nc_sid=201bca,ES,L-jY1bvnFK9Z_E_-a365zg,1440100234771,46,72,"(46, 72)",2,5.495867729,0,9,9,0.0723206446632676,Galicia,Provincia da Coruna,Malpica,Malpica_Provincia da Coruna_Galicia_ES,Provincia da Coruna_Galicia_ES,Galicia_ES,ES,4992,txenoo,107308784835005.0
365121168251226,-19.123341944195,-64.628402252398,https://scontent-cdg4-1.xx.fbcdn.net/m1/v/t6/An-2nnDOdJAz86Bbd6OKtW0fCKvMFBr8IKfsIgStlt14wo3iuw59ytyEXd4GGMAzm05So5wUzdI8ApN8DcEc06n4kvppnR4ouRa5Vb5mF0_Oal2GphH1FBAqIPlddmh3Jzww_A9w1SjR-uFl5f4XNQ?ccb=10-5&oh=00_AfCWNKVoPLR4DJJAHwCm4vd-cXK747nRrsgiEGqvX6OzNA&oe=650F0C49&_nc_sid=201bca,BO,vj92hqf9m0r0di3c66bcog,1483109568000,31,26,"(31, 26)",5,3.114021222,0,7,10,0.9999994932164592,Chuquisaca,Provincia Tomina,Tomina,Tomina_Provincia Tomina_Chuquisaca_BO,Provincia Tomina_Chuquisaca_BO,Chuquisaca_BO,BO,385,yoviajo,107127184853389.0
522412212249421,58.312461016643,46.700734928548,https://scontent-cdg4-1.xx.fbcdn.net/m1/v/t6/An8N5GWMQlPRmCkFBNYcvpDGesgIDCQHWFMYlZylgcN0o52OIx9qFhauNA4bN9k79Z7HOA-PN_EP8OU_y4VK0ElmDMdgcz8KLotiTq1n8k2YpOt4l3qOtm8b1l4vhd_bFASMD25nikN60N6V273ikKs?ccb=10-5&oh=00_AfCWWzXlwhLiLpmZ5zMYjWxyuK-qZ3St4ofRHhdMFdLcVg&oe=650F5882&_nc_sid=201bca,RU,kvyqwyj5bxpxbd11s3ramn,1597505243861,62,83,"(62, 83)",4,2.896594048,0,26,7,0.9999966451175866,Nizjnij Novgorod,,Vakhtan,Vakhtan_NaN_Nizjnij Novgorod_RU,,Nizjnij Novgorod_RU,RU,11156,argz,104009538507263.0
931263141008436,31.079955482951,-97.616696741039,https://scontent-cdg4-3.xx.fbcdn.net/m1/v/t6/An9N4IiR6f0uvuLJsjt1-84pUBTF3GsBWSVz3Z0s4RZSH5q7bQpD3-jSDk_5wk1ZMbYmH3j35NC8lqueNnRVwv7d6HgnY_GvWMt8mU77hCKLHppqdaezzLEGhaFdOVRucGi3SzyWwt-pwXblL5Mqsg?ccb=10-5&oh=00_AfBwawBIVjNORikB-3AfYbkFDSIffYmpl3HXiFCtyHDEVg&oe=650F7DFC&_nc_sid=201bca,US,elgaan3n4u6fbtv67dnk4l,1584038497973,22,63,"(22, 63)",3,5.733500481,0,14,3,0.9924956928510408,Texas,Bell County,Nolanville,Nolanville_Bell County_Texas_US,Bell County_Texas_US,Texas_US,US,2355,sathyapendyala,110638741169845.0
902536400591339,65.32647299943,16.656603003425,https://scontent-cdg4-1.xx.fbcdn.net/m1/v/t6/An8JVIzIUCbTZXJFAZSI4Y30PPQegszV0NN1j0Y0hhKNAccGXpvsk5kS7xBoRavyWWl5u0Q-Z1HW1NZt-0cFzEoOEFrmh6zy71YXH2RkYQ3L1B2eWErbgbtA4YvWZ1Akt1QXEwSy26ME3uhgJWTBVQ?ccb=10-5&oh=00_AfB4rp-tQgKiQ8JniA45B00DtqgQzleKtF97vWnwNogJNg&oe=650F7E52&_nc_sid=201bca,SE,qyb8g5esyb6ve22c85mfx3,1591880762000,53,89,"(53, 89)",4,5.48136282,0,27,9,0.9260266384739984,Vaesterbotten,Storumans Kommun,Fristad,Fristad_Storumans Kommun_Vaesterbotten_SE,Storumans Kommun_Vaesterbotten_SE,Vaesterbotten_SE,SE,11278,roadroid,111336221091714.0
243421277923246,52.82218225002897,35.87071074999388,https://scontent-cdg4-1.xx.fbcdn.net/m1/v/t6/An9W_Y2tz8B2dKISEShhi3CQ3bUzab5KxOFSbCzsCFSYbn-8Ohl88VaoGEGlX-wrIFsE4lsYR0kbwJu7yXWpw_NoRKD3q_ANe3UvZF1I0oO7YcdrIRyCIApA4xYRJ7H2in_CrTNbG185a0KsvaYCs50?ccb=10-5&oh=00_AfDOA2RGNyXL9kX0ys2rINJsL_XorVqnMlmgE-gDuQvHtw&oe=650F70BA&_nc_sid=201bca,RU,p1z2GgqrZjKA3XokVeaLdW,1627673366300,59,79,"(59, 79)",2,2.896594048,0,26,7,0.9999865826310356,Orjol,,Znamenka,Znamenka_NaN_Orjol_RU,,Orjol_RU,RU,10052,slsmda,102352942010155.0
396423669108226,15.66315450161003,-88.16381131256449,https://scontent-cdg4-1.xx.fbcdn.net/m1/v/t6/An8q3NcIQ-PSdvvzAqLblT9v1um4ZWtDqr5BDtorRHv3iwbyRvf1hD380vfr-HUzi5y15rgjbueSrXytQaGqo-yYWS5545T5yxW92dqWbysgBMNTNQ_PaJSLkSSAz33V7CozCHJ5-7cYF_OTltvDKjE?ccb=10-5&oh=00_AfADyTIlWiMeLFSe1GlZ7Ug-7YtUT3h92uwV29iNfbHnrw&oe=650F68D6&_nc_sid=201bca,HN,Y2kKdImwSsjrZcLE5o6igt,1655155268715,24,52,"(24, 52)",4,3.804879904,0,1,5,0.0493636076542812,Cortes,,Cuyamel,Cuyamel_NaN_Cortes_HN,,Cortes_HN,HN,1884,Davidmejia7,100703216022075.0
1378772969166636,16.906933793865,77.41626651205,https://scontent-cdg4-3.xx.fbcdn.net/m1/v/t6/An-nEpkKv1Ogp52gtU-oZLBS-QbI8mulr4Bj3Ks3xJnMRYTMxlKmk4EjzB5JoR-WEkp8yk3ReWnHeUEQevlVYmDp0IwN5YcYBheMbHrbP5HPBT3rRldYa1hLU5ZJMvBX2u4RjjccZoIUrT2K1pq_Uw?ccb=10-5&oh=00_AfBVSuiPXhUcljevHCsr1FDiUQ1qCc8po0cKTKBdKTBHyA&oe=650F4A35&_nc_sid=201bca,IN,u8honkk1mk39yroasgys7i,1577520280532,70,53,"(70, 53)",2,4.311433792,1,3,3,0.9976827603720346,Karnataka,Yadgir,Gurmatkal,Gurmatkal_Yadgir_Karnataka_IN,Yadgir_Karnataka_IN,Karnataka_IN,IN,6045,rajeev7932,105138068394040.0
227737085792542,11.580034822294,108.94288724739,https://scontent-cdg4-3.xx.fbcdn.net/m1/v/t6/An986XhRTukFrYJ6NwWTFpvn1qYsFY90zivzo_8FlXBnpnwKdKy3kBaTMu3b52xk-X6gxzEUAUbQH35L90rEskpoW3MbW-9GFSlWZBFncV5RBvZ3KiQRgSO6xUkp1r5MGKcjK3wjkehD7zMWY1NLeA?ccb=10-5&oh=00_AfAJDCg3Tph0XPp01LditEv3_QEsYJXF8o-y2vmLbSpjmw&oe=650F3516&_nc_sid=201bca,VN,XquZoWfomLkewXw15ydrbg,1483290291110,79,49,"(79, 49)",2,3.370807171,0,3,9,0.104606675200464,Ninh Thuan,,Phan Rang-Thap Cham,Phan Rang-Thap Cham_NaN_Ninh Thuan_VN,,Ninh Thuan_VN,VN,1827,cut,105565668345677.0
959296124834793,42.858455026115,71.171800602904,https://scontent-cdg4-3.xx.fbcdn.net/m1/v/t6/An90nBTV3L_HEFVs3_i4owVQOquzRM5gNZfxowHHIk1fahe0n0x-4RXf7pHAVI-YqCBKW-uVxcQItGre1f3IKt-BQ7aeMJ-Y2zqtteadKCOOIl6mnQCzyAGPczJU7dE1C_KFnV9mEkKD6GijqIAiyw?ccb=10-5&oh=00_AfBiiTzzLSgoKR8nu-P95MSInpTpPneJWW9PzIFo3oeVQw&oe=650F32D9&_nc_sid=201bca,KZ,gi11x5jr3egkqwm5cb3cle,1573295673422,69,72,"(69, 72)",2,2.88312459,0,7,9,0.999999997018622,Zhambyl,,Taraz,Taraz_NaN_Zhambyl_KZ,,Zhambyl_KZ,KZ,7400,vik1607,111082464456749.0
506634477142471,-19.897082228941,47.042325213533,https://scontent-cdg4-3.xx.fbcdn.net/m1/v/t6/An8E2Ped2atCU_UyzZDXqzliLVe7Zqvyi5z2phJjfDpLrvZx3O8gzGstVQTjn70xJkFwuNxcpwankRju3fEzjZfsnAWMEmCaQCrP6146iA0XBxpyoygwYllnCE-YLCiW5MhNhEZaX8tqXE6887fA2A?ccb=10-5&oh=00_AfB7FuH8a9qtQLgWOrUBrFXAaEcjxKKThoEhzJ1Lne0bjg&oe=650EFF9A&_nc_sid=201bca,MG,YGUP2Wi3Rs3vGg6xS_69bg,1448876904514,62,25,"(62, 25)",3,2.167167187,0,12,10,0.9725887730473316,Vakinankaratra,,Antsirabe,Antsirabe_NaN_Vakinankaratra_MG,,Vakinankaratra_MG,MG,1494,lacikrane,109555094607315.0
174510417891701,39.679820247813645,72.92136321457117,https://scontent-cdg4-3.xx.fbcdn.net/m1/v/t6/An8hVgguiBO2a3YW4HHDTa6r_jiC3NCQmIRuPD-bSh8fBV59L4KyL84I5kOA9SLs2MlILMFQ5jemoCmALZxJqc-p8URkidWP80Ea2jLXfSh8tG0c56k2PZ3efXsaV5ZAao6R8o5dvYAGFGgfe8MqlA?ccb=10-5&oh=00_AfA8F_bNoyBNkE8Rv1gTDOIk8wFPBNFXPKCOxW0tOuZc-g&oe=650F69E3&_nc_sid=201bca,KG,pJzXWgBCY0EuqZAi7eFvNx,1566391061000,69,70,"(69, 70)",9,2.650644302,0,19,5,0.999999993311808,Osh,,Gul'cha,Gul'cha_NaN_Osh_KG,,Osh_KG,KG,7382,vbombaerts,103823201859432.0
690943531910127,-27.70297467584168,-67.92262741625277,https://scontent-cdg4-1.xx.fbcdn.net/m1/v/t6/An_xHsB_MsX51Jk3peQrYQraa5x9fu_S8Jvhv85KAoFFcf-xrjQL4LDoGNkyYARDXsYOD3rEP3E2P41JXIP5vimqTJZqDt03rO68g58BhJS3qS35vKyCuzMcEBXjD4wXVvgQ7rE4GTAgPB-3VUy11Q?ccb=10-5&oh=00_AfAILckkG57FOee78Dmnw2i5qRaTErOEG-XLMiOVFqcQmg&oe=650F7529&_nc_sid=201bca,AR,r3JYQUakqbLvXWp8xKM6G1,1646329527021,30,20,"(30, 20)",3,3.278787851,0,5,12,0.9993495986732652,Catamarca,,Fiambala,Fiambala_NaN_Catamarca_AR,,Catamarca_AR,AR,129,sobaba,107397038164148.0
816656172565477,12.582215499685,-1.3511880513532,https://scontent-cdg4-1.xx.fbcdn.net/m1/v/t6/An-w_XIelHW1KACm1J47dl-g0fN-74L9GIxudnj1E-NyL6lzyTFaau__aePO3xUWfsGUnlbGykd39W4ZMT5R497qINA0IWOIwitvR87GQ3M2E-dfeiLH8K4w52i407yLo40nNycQoIFKPd-AUusCFw?ccb=10-5&oh=00_AfB3u_VUFvuU7QA2BU9WLqmT07mOY79HzRCQVUpL4BiHoQ&oe=650F3B47&_nc_sid=201bca,BF,bd72e677-216d-4c18-89a9-bd2768b7292d,1527249486410,48,50,"(48, 50)",2,,0,6,12,0.9999993304984472,Plateau-Central,Province d'Oubritenga,Ziniare,Ziniare_Province d'Oubritenga_Plateau-Central_BF,Province d'Oubritenga_Plateau-Central_BF,Plateau-Central_BF,BF,3371,bela,103005861943403.0
821649165434166,51.46453131053,3.6684865992158,https://scontent-cdg4-1.xx.fbcdn.net/m1/v/t6/An8EJyh3t_fcNmyrsGeM59BNSAGcZDCvOeLPmDF0PSNjky1k9tUrjPq6owVT6cvLHDilFVO49oEiE-1kjUvnqP_LFlRbm-lWVa2AO6UBT-o9f4mMkdp7F3k0zNOXRj_PeLbvz-GU1bLwTwItPP6_J10?ccb=10-5&oh=00_AfBP-TADetnMuzVpRhQs2u9p5GFa1_WYCUtv1eEpc_Dmog&oe=650F16C3&_nc_sid=201bca,NL,yjd0b89d565znw2041d9gj,1473759970431,50,78,"(50, 78)",1,6.135734558,0,15,14,0.0135981645522793,Zeeland,Gemeente Middelburg,Middelburg,Middelburg_Gemeente Middelburg_Zeeland_NL,Gemeente Middelburg_Zeeland_NL,Zeeland_NL,NL,9078,adverburg,104854008421859.0
3141605116110328,-6.266573217698671,145.20195159037246,https://scontent-cdg4-1.xx.fbcdn.net/m1/v/t6/An__Ctx9t6m8I0XJhETPd_Go5KsIX2ggLBdBFOJkMwMBN9C6NmnEMOJQRkv8m1Z2KFMYv4dDWRkvGgcfrjiF3--hQfRBtrqrFpZekJzGhFebJAjt_Q-D20WsAZ1WybQ_aeRzwyepD4ieAINR6N6vGQ?ccb=10-5&oh=00_AfC7YG5lQyaJc7JiHcJ28uLCwMOhVWsqf_Syz5UjN4LwcA&oe=650F8CE8&_nc_sid=201bca,PG,RiS4PtHawM8V9fu1cxhQI0,1650548328047,89,36,"(89, 36)",4,,1,15,9,0.7937873952196749,Eastern Highlands,,Goroka,Goroka_NaN_Eastern Highlands_PG,,Eastern Highlands_PG,PG,1767,jthnz,101151075465473.0
519953059013089,-7.2949727267966,-34.822705842123,https://scontent-cdg4-1.xx.fbcdn.net/m1/v/t6/An9Wx3yfTCy2X0qmly2Rymc59VP8xAGstbqL_2zhfR0As_pA8oO2iW10bisa3hUpSY3Skt0FawAqO0frNV-VBs_l2Kun6s1BDDYhIBgldSf4LQQhs3SNETLAatv3Kep4j4Kwa1rczI29xRZR385n9g?ccb=10-5&oh=00_AfB9F4Fuh3BQdDqMNuHDDWsq96yyIQBpTbiVnpJ38lDkbA&oe=650F1D5F&_nc_sid=201bca,BR,92rfcvqt03ufmqaj1x9zhd,1483204921024,39,35,"(39, 35)",2,3.115480423,0,2,12,0.0210188882543787,Paraiba,Conde,Conde,Conde_Conde_Paraiba_BR,Conde_Paraiba_BR,Paraiba_BR,BR,576,fredporto,105396155033346.0
382671943012851,-25.862202320344,32.616484021266,https://scontent-cdg4-1.xx.fbcdn.net/m1/v/t6/An-CoATu5tlySu6gK0nEMuao2n_iDapi3f2dk5MuFIpQ45ATpVnktpTYDluNDyeBhBXsy9EBeh4rZcbT4GbfrVQ0Cvy8mQzyvc36Em1a5E9wgnxY4We0EAIKaNwwPWB1tbVzE-BEdac0OiRsEigEJw?ccb=10-5&oh=00_AfBoPtKOB79ctr9nF-DYPvzdHyxTYmgTE_TEv68ce_YCyA&oe=650F2913&_nc_sid=201bca,MZ,SFZWSvqNTyG45UrYLSJfTA,1545214100273,58,21,"(58, 21)",2,2.473421574,1,3,12,0.0598693340393425,Maputo City,,Maputo,Maputo_NaN_Maputo City_MZ,,Maputo City_MZ,MZ,911,patriciaferrao,107707771465459.0
316604756546579,11.444835775901,-72.542783888051,https://scontent-cdg4-3.xx.fbcdn.net/m1/v/t6/An-S6W3UryuervckR6-Bf_uFdkFNAMKcL1MhuM9HIRGnuv4e3s4Q0r5KN53bDphNNn0Qx91-DVbPM0hF0E0w9qabmCcUEwwpBSg9ihDD6J7JGRgRKeiBWq4Sh81IqRM_zdsxxwW27lVp3wa-Mc7phA?ccb=10-5&oh=00_AfAuaYklSwbGRhKH8MMOP4ECYgcUkD51hu-Z5pbmWyFLXQ&oe=650F265A&_nc_sid=201bca,CO,d864z07uvkbbseazqqbnt8,1456228870172,29,49,"(29, 49)",2,3.020053625,0,6,10,0.3212461943419928,La Guajira,,Albania,Albania_NaN_La Guajira_CO,,La Guajira_CO,CO,724,colombia_tour,111112011114777.0
187675313195484,46.568832042635,-81.209780060313,https://scontent-cdg4-3.xx.fbcdn.net/m1/v/t6/An8ssQpDctqGtOuHW7veEcbG5AT_K1hAT0QFKCudOnTPNWwvwpGabONyHeGW0OTL1mfniuMTLCkCn_vD6U5cxcP_z4j0ADAnJrTBNfTB4fmBWHBlzb_PxhBLwM8h-EIyBN9ElwTTSL8r5KGahW9K0A?ccb=10-5&oh=00_AfCaaad78IDWh_nUqmhh9M1cQekPrQ2hMK7gxgGpvrMzww&oe=650EF25F&_nc_sid=201bca,CA,uHvhwidqo8kbMjyKRcjFrg,1413387397000,26,75,"(26, 75)",3,5.379202843,0,26,9,0.9997738127590166,Ontario,,Rayside-Balfour,Rayside-Balfour_NaN_Ontario_CA,,Ontario_CA,CA,5384,tristan,100729518837793.0
446095773454806,16.389142817276,-98.113565615161,https://scontent-cdg4-3.xx.fbcdn.net/m1/v/t6/An99mWDvMG0RMRQpawg1sxjugdc9cFR0T2Bv_seAJwA64fjqdjUkYamcY0J4XnXhjA7olDRcdCWtOZLYhcIz0oVRRHZaUll6x-lzzK0QWyMaHSDoqGDNshdf8YGd6o8DExzC21B4SOzvPCWPqpmJwA?ccb=10-5&oh=00_AfDacsW_StmPiBd1BhM0W1qr5vwZr7-RmgsqpKhutRKmvA&oe=650F5A9A&_nc_sid=201bca,MX,iayzhfN2IrTIXELEEJdKdA,1534510080000,21,52,"(21, 52)",2,4.373290539,0,3,11,0.1969998108911024,Oaxaca,Santiago Pinotepa Nacional,Santa Maria Jicaltepec,Santa Maria Jicaltepec_Santiago Pinotepa Nacional_Oaxaca_MX,Santiago Pinotepa Nacional_Oaxaca_MX,Oaxaca_MX,MX,1910,t0mmy,108287648073187.0
485309792671627,-6.1307380590196,-37.643290798293,https://scontent-cdg4-3.xx.fbcdn.net/m1/v/t6/An-QbReuOrezIiExv5xuunM4-1rHCLbVD3-r703Bhit_kwsdgoKbP5KSG9m4CyE4-sFCOq1LTFSWrh3h2KGzg-_ZfL2HQabaAIk2it8OU-xFLEmt0g4dY2zE4PZjuHlhJi-ih8XgwmsP0JBIUuypSA?ccb=10-5&oh=00_AfBEgP2Kt_ZFNdPQWEahz6TMsjbA5kG2dmJAyFsQF2Dm3w&oe=650F01F8&_nc_sid=201bca,BR,x6EA1-GgFO78iMVIehukYw,1467200249733,38,36,"(38, 36)",5,3.115480423,0,3,11,0.8662927604145279,Rio Grande do Norte,Patu,Patu,Patu_Patu_Rio Grande do Norte_BR,Patu_Rio Grande do Norte_BR,Rio Grande do Norte_BR,BR,586,fredporto,105396155033346.0
